scheme_code,amc_code,amc_name,scheme_name,scheme_name_unique,date_of_inception,asset_category,asset_sub_category,option_name,plan_name,risk_profile,risk_rating,benchmark,nav,nav_date,fund_size,fund_manager,isin_dividend_payout_or_growth,isin_dividend_reinvest,bse_txn,bse_code_payout_or_growth,bse_code_reinvest,expense_ratio_s_d,objective,scheme_doc_url,riskometer,vr_rating,final_benchmark,exit_load,txn_info,row_num
118512,AMC11,Franklin Templeton Asset Management (India) Private Limited,Franklin India Life Stage Fund Of Funds - The 20S Plan - Direct - Growth,Franklin India Life Stage Fund of Funds - The 20s Plan,01-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,S&P BSE SENSEX (65%)+Nifty 500 (15%)+Crisil Composite Bond Fund Index (20%),0.0,2022-12-19 00:00:00+00:00,10.7988,,INF090I01HY0,,Y,456-GR,,0.97,The Primary Objective Is To Generate Superior Risk Adjusted Returns To Investors In Line With Their Chosen Asset Allocation.,https://www.franklintempletonindia.com/investor/downloads/fund-documents,Very High,**,OHB49,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
118514,AMC11,Franklin Templeton Asset Management (India) Private Limited,Franklin India Life Stage Fund of Funds - The 30s Plan - Direct - Growth,Franklin India Life Stage Fund of Funds - The 30s Plan,01-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,S&P BSE SENSEX (45%)+Nifty 500 (10%)+Crisil Composite Bond Fund Index (45%),0.0,2022-12-19 00:00:00+00:00,6.0089,,INF090I01IB6,,Y,458-GR,,1.02,The Primary Objective Is To Generate Superior Risk Adjusted Returns To Investors In Line With Their Chosen Asset Allocation.,https://www.franklintempletonindia.com/investor/downloads/fund-documents,High,Not Rated,OHB47,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
119542,AMC35,Sundaram Asset Management Company Limited,Sundaram Equity Hybrid Fund Direct Plan - Growth,Sundaram Equity Hybrid Fund,02-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,146.339,2021-12-31 00:00:00+00:00,1954.007,,INF903J01MP0,,Y,SU42PD-GR,,0.89,"To Generate Capital Appreciation And Current Income, Through A Mix Of Investments In Equities And Fixed Income Securities.",https://www.sundarammutual.com/Downloads,High,****,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
139971,AMC15,IDBI Asset Management Ltd.,IDBI Hybrid Equity Fund Growth Direct,IDBI Hybrid Equity Fund,24-Oct-16,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,18.6649,2023-07-27 00:00:00+00:00,179.0436,,INF397L01JC5,,Y,IBPFG1G-GR,,1.67,"The Investment Objective Of The Scheme Would Be To Generate Opportunities For Capital Appreciation Along With Income By Investing In A Diversified Basket Of Equity And Equity Related Instruments, Debt And Money Market Instruments. However, There Can Be No Assurance That The Investment Objective Of The Scheme Will Be Realized.",https://www.idbimutual.co.in/Downloads/SID,Very High,**,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
145228,AMC13,HSBC Global Asset Management (India) Private Limited,HSBC Equity Hybrid Fund - Growth Direct,HSBC Equity Hybrid Fund,22-Oct-18,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,16.7649,2022-11-25 00:00:00+00:00,474.6751,,INF336L01NH4,,Y,HSHEHG-GR,,1.0,"To Seek Long Term Capital Growth And Income Through Investments In Equity And Equity Related Securities And Fixed Income Instruments. However, There Is No Assurance That The Investment Objective Of The Scheme Will Be Achieved.",https://www.assetmanagement.hsbc.co.in/en/mutual-funds/fund-centre#openTab=0,Very High,***,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
119326,AMC3,Baroda Asset Management India Limited,Baroda Hybrid Equity Fund - Plan B Direct - Growth Option,Baroda Hybrid Equity Fund,01-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Crisil Hybrid 35+65 - Aggressive Index,89.2832,2022-03-13 00:00:00+00:00,389.1238,,INF955L01948,,Y,BO98-GR,,1.78,"To Provide Long-Term Capital Appreciation Along With Stability Through A Well-Balanced Portfolio Comprising Of Equity, Equity Related Instruments, Money Market Instruments And Debt Securities.",https://www.barodamf.com/Downloads/pages/sai.aspx,Very High,***,AUB11,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
135749,AMC28,Principal Asset Management Company Private Limited,Principal Retirement Savings Fund - Progressive Plan - Direct Sub-Plan - Growth,Principal Retirement Savings Fund - Progressive Plan,14-Dec-15,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,Nifty 200 Full Market Cap Index,16.0857,2020-12-24 00:00:00+00:00,2.5306,,INF173K01MX2,,Y,PCAGZG-GR,,1.15,"The Investment Objective Of The Scheme Is To Provide Capital Appreciation And Income Generation To Enable Investors Save Over The Long Term Towards Their Retirement Savings Goals, By Investing In A Mix Of Securities Comprising Of Equity, Equity Related Instruments And Fixed Income Securities.",https://www.principalindia.com/downloads-funds.aspx,Moderately High,Not Rated,OB47,"{'exit_load_period': None, 'exit_load_rate': None, 'exit_load_period_remark': None}","{'min_invest': None, 'min_invest_sip': None, 'min_invest_x': None, 'min_invest_sip_x': None}",1
119019,AMC8,DSP Investment Managers Private Limited,DSP Aggressive Hybrid Fund - Direct Plan - Growth,DSP Aggressive Hybrid Fund,31-Dec-12,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,405.237,2025-06-11 00:00:00+00:00,10829.3444,Abhishek Singh,INF740K01NY4,,Y,DS727-GR,,0.67,To Generate Long Term Capital Appreciation And Current Income From A Portfolio Constituting Equity And Equity Related Securities As Well As Fixed Income Securities.,https://www.dspim.com/downloads?category=Information%20Documents&sub_category=SID/SAI,Very High,***,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': 'NIL upto 10% of investment within 12M, 1% exceding 10% of investment within 12M, NIL after 12M'}","{'min_invest': 100.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
139527,AMC5,Bank of India Investment Managers Private Limited,Bank of India Mid & Small Cap Equity & Debt Fund - Direct Plan Growth,Bank of India Mid & Small Cap Equity & Debt Fund,20-Jul-16,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,NIFTY MidSmallcap 400 Index(70%)+Crisil Short Term Fund(30%),42.26,2025-06-11 00:00:00+00:00,1095.1841,Alok Singh,INF761K01DM6,,Y,BAMCDG-GR,,0.77,"The Scheme'S Objective Is To Provide Capital Appreciation And Income Distribution To Investors From A Portfolio Constituting Of Mid And Small Cap Equity And Equity Related Securities As Well As Fixed Income Securities. However There Can Be No Assurance That The Income Can Be Generated, Regular Or Otherwise, Or The Investment Objectives Of The Scheme Will Be Realized.",https://www.boimf.in/investor-corner#t1,Very High,****,OHB36,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': '1% on or before 3M, Nil after 3M'}","{'min_invest': 5000.0, 'min_invest_sip': 1000.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 100.0}",1
145599,AMC18,Groww Asset Management Limited,Groww Aggressive Hybrid Fund - Direct Plan - Growth option,Groww Aggressive Hybrid Fund,13-Dec-18,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,23.05,2025-06-11 00:00:00+00:00,45.6146,Anupam Tiwari,INF666M01FA3,,Y,INEHG1-GR,,0.85,To Generate Periodic Returns And Long Term Capital Appreciation From A Judicious Mix Of Equity And Debt Instruments.,https://www.growwmf.in/downloads/sid,Very High,***,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': '1% on or before 7D, Nil after 7D'}","{'min_invest': 500.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
143163,AMC10,Navi AMC Limited,Navi Aggressive Hybrid Fund - Direct Plan - Growth,Navi Aggressive Hybrid Fund,30-Apr-18,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,23.1642,2025-06-11 00:00:00+00:00,114.7612,Ashutosh Shirwaikar,INF959L01CX3,,Y,ESEHGDG-GR,,0.42,"The Investment Objective Of The Scheme Is To Provide Periodic Returns And Capital Appreciation Over A Long Period Of Time, Investing Predominantly In Equity And Equity Related Instruments. However, There Is No Assurance Or Guarantee That The Investment Objective Of The Scheme Will Be Achieved. The Scheme Does Not Assure Or Guarantee Any Returns.",https://www.Navimutualfund.com/dnd_applicationform.php,Very High,***,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'Nil'}","{'min_invest': 100.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
120484,AMC20,JM Financial Asset Management Private Limited,JM Aggressive Hybrid Fund Direct - Growth Option,JM Aggressive Hybrid Fund,01-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,138.4755,2025-06-11 00:00:00+00:00,801.977,Asit Bhandarkar,INF192K01BQ9,,Y,BFDG-GR,,0.58,To Provide Steady Current Income As Well As Long Term Growth Of Capital.,https://www.jmfinancialmf.com/Downloads/Addenda.aspx?SubReportID=538A8B27-62B1-4CFE-BFF2-65DDFF0D4627,Very High,****,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': '1% on or before 60D, Nil after 60D'}","{'min_invest': 1000.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
133035,AMC21,Kotak Mahindra Asset Management Company Limited,Kotak Equity Hybrid - Growth - Direct,Kotak Equity Hybrid Fund,03-Nov-14,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,NIFTY 50 Hybrid Composite Debt 65:35 Index,72.678,2025-06-11 00:00:00+00:00,7036.3353,Atul Bhole,INF174K01F00,,Y,KO04GD-GR,,0.49,"The Investment Objective Of The Scheme Is To Achieve Growth By Investing In Equity And Equity Related Instruments, Balanced With Income Generation By Investing In Debt And Money Market Instruments.",https://www.kotakmf.com/Information/forms-and-downloads,Very High,****,AUB9,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': 'Nil upto 8% of investment and 1% for remaining investment on or before 1Y, Nil after 1Y'}","{'min_invest': 100.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
118624,AMC9,Edelweiss Asset Management Limited,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,Edelweiss Aggressive Hybrid Fund,07-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,72.86,2025-06-11 00:00:00+00:00,2612.1898,Bharat Lahoti,INF754K01CE0,,Y,ENDG-GR,,0.39,The Investment Objective Of The Scheme Is To Generate Long Term Growth Of Capital And Current Income Through A Portfolio Investing Predominantly In Equity And Equity Related Instruments And The Balance In Debt And Money Market Securities.,https://www.edelweissmf.com/downloads#Scheme-Information-Document,Very High,****,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'Nil upto 10% of units and 1% for remaining units on or before 90D, Nil after 90D'}","{'min_invest': 100.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
120517,AMC1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Equity Hybrid'95 Fund - Direct Plan-Growth,Aditya Birla Sun Life Equity Hybrid '95 Fund,01-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,1707.67,2025-06-11 00:00:00+00:00,7318.6904,Chanchal Khandelwal,INF209K01ZC0,,Y,BSAGZ-GR,,1.11,"The Objective Of The Scheme Is To Generate Long Term Growth Of Capital And Current Income, Through Aportfolio Investing In Equity, Debt And Money Market Securities. The Secondary Objective Is Income Generation And Distribution Of Dividend.",https://mutualfund.adityabirlacapital.com/resources/forms,Very High,**,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': '1% on or before 90D, Nil after 90D'}","{'min_invest': 100.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
151122,AMC13,HSBC Global Asset Management (India) Private Limited,HSBC Aggressive Hybrid Fund - Direct Growth,HSBC Aggressive Hybrid Fund,31-Jan-11,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,NIFTY 50 Hybrid Composite Debt 65:35 Index,62.4324,2025-06-11 00:00:00+00:00,5124.5635,Cheenu Gupta,INF917K01LE4,,Y,HSFCEGD-GR,,0.84,To Seek To Generate Long-Term Capital Appreciation From A Diversified Portfolio Of Predominantly Equity And Equity Related Securities And To Generate Reasonable Returns Through A Portfolio Of Debt And Money Market Instruments.,https://www.assetmanagement.hsbc.co.in/en/mutual-funds/investor-resources/information-library,Very High,**,AUB9,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': 'Nil for 10% of units and 1% for remaining units on or before 1Y, Nil after 1Y'}","{'min_invest': 5000.0, 'min_invest_sip': 500.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
119062,AMC12,HDFC Asset Management Company Limited,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,HDFC Hybrid Equity Fund,31-Dec-12,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,NIFTY 50 Hybrid Composite Debt 65:35 Index,129.122,2025-06-11 00:00:00+00:00,23850.7187,Chirag Setalvad,INF179K01XZ1,,Y,PREGT-GR,,1.04,"The Investment Objective Of The Scheme Is To Generate Capital Appreciation / Income From A Portfolio,Predominantly Of Equity & Equity Related Instruments. The Scheme Will Also Invest In Debt And Money Market Instruments.",https://www.hdfcfund.com/investor-desk/product-literature/sid,Very High,***,AUB9,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': 'Nil upto 15% of Units, For excess Units 1% on or before 1Y and Nil after 1Y'}","{'min_invest': 100.0, 'min_invest_sip': 100.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
125711,AMC34,Shriram Asset Management Company Limited,Shriram Aggressive Hybrid Fund - Direct Growth,Shriram Aggressive Hybrid Fund,06-Dec-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,35.7188,2025-06-11 00:00:00+00:00,47.182,Deepak Ramaraju,INF680P01042,,Y,101D-GR,,0.96,"The Investment Objective Of The Scheme Would Be To Generate Long Term Capital Appreciation And Current Income With Reduced Volatility By Investing In A Judicious Mix Of A Diversified Portfolio Of Equity And Equity Related Investments, Debt And Money Market Instruments.",https://www.shriramamc.com/DownloadsFundwise.aspx,Very High,***,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 0.0, 'exit_load_period_remark': 'NIL for 12% of units and 1% for remaining units on or before 90D, Nil after 90D'}","{'min_invest': 500.0, 'min_invest_sip': 500.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
143537,AMC19,Invesco Asset Management Company Pvt Ltd.,Invesco India Aggressive Hybrid Fund - Direct Plan - Growth,Invesco India Aggressive Hybrid Fund,30-Jun-18,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,25.4254,2025-06-11 00:00:00+00:00,653.1058,Dhimant Kothari,INF205K014Q7,,Y,RGEBD1-GR,,0.81,"To Generate Capital Appreciation And Current Income By Investing In Equity & Equity Related Instruments As Well As Debt Securities.However, There Is No Assurance Or Guarantee That The Investment Objective Of The Scheme Will Be Achieved. The Scheme Does Not Assure Or Guarantee Any Returns.",https://invescomutualfund.com/literature-and-form?tab=Scheme,Very High,**,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': 'Nil upto 10% of units and 1% for above the limits on or before 1Y, Nil after 1Y'}","{'min_invest': 1000.0, 'min_invest_sip': 500.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
118272,AMC6,Canara Robeco Asset Management Company Limited,Canara Robeco Equity Hybrid Fund - Direct Plan - Growth Option,Canara Robeco Equity Hybrid Fund,01-Jan-13,Hybrid,Aggressive Hybrid Fund,Growth,Direct,Balanced,6.0,CRISIL Hybrid 35+65 - Aggressive Fund Index,409.38,2025-06-11 00:00:00+00:00,10655.45,Ennettee Fernandes,INF760K01EZ8,,Y,CAGBDG-GR,,0.59,To Seek To Generate Long Term Capital Appreciation And / Or Income From A Portfolio Constituted Of Equity And Equity Related Securities As Well As Fixed Income Securities.(Debt And Money Market Securities),http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,Very High,****,AUB11,"{'exit_load_period': 0.0, 'exit_load_rate': 1.0, 'exit_load_period_remark': 'Nil upto 10% of units on or before 1Y, 1% for more than 10% of units on or before 1Y, Nil after 1Y'}","{'min_invest': 5000.0, 'min_invest_sip': 1000.0, 'min_invest_x': 1.0, 'min_invest_sip_x': 1.0}",1
